date,gdp_growth_pct,interest_rate_pct,usd_gbp,usd_eur,cpi_index,oil_price_usd,manufacturing_pmi,china_ppi_yoy,dxy_index,baltic_dry_index,us_ppi_yoy,ev_sales_growth_pct
2020-11-01,1.3294,1.7738,0.8305,0.9094,30.5197,68.1031,48.6708,0.2032,132.7913,1913.4901,11.7821,139.2286
2020-12-01,1.7194,1.7439,0.8104,0.9137,44.8387,62.9246,7.8177,0.1211,253.7917,2189.4325,16.3198,256.689
2021-01-01,1.6678,1.5277,0.8333,0.9125,49.5231,60.0672,5.1,0.1,691.6304,2512.6718,16.3963,1.75
2021-02-01,1.5132,1.4778,0.8578,0.9401,54.7009,62.055,11.7648,0.1503,320.2749,2801.6922,18.2302,1.75
2021-03-01,1.4025,1.6822,0.8544,0.9613,61.2425,61.3271,10.4692,0.2437,161.3654,2854.9376,18.1783,4.2563
2021-04-01,1.5886,1.2863,0.8481,0.9662,38.4695,62.9062,23.8726,0.3319,219.3923,3179.8398,20.6659,9.6868
2021-05-01,1.7341,1.3937,0.869,0.9551,36.1909,64.6633,15.1756,0.1,156.1547,3171.9601,24.2821,12.7105
2021-06-01,1.9089,1.4674,0.8516,0.9394,33.9852,70.9286,34.8955,0.1501,327.37,3216.5221,3.6931,29.0123
2021-07-01,2.1063,1.3668,0.8378,0.9554,39.8173,69.2344,39.1375,0.1,10.2,2900.4823,4.7422,49.4675
2021-08-01,3.1529,1.1077,0.8466,0.9586,57.2311,61.927,48.0876,0.1282,10.2,2990.8657,2.6982,134.9032
2021-09-01,2.8488,1.1475,0.8403,0.9649,31.1306,66.8171,113.299,0.1,10.2,2996.5675,1.0061,190.2677
2021-10-01,2.5075,1.0877,0.8397,0.9402,29.6426,65.3065,76.7639,0.1435,10.2,2648.5387,0.9906,91.1434
2021-11-01,2.0361,1.1527,0.8368,0.9525,48.859,70.6576,13.7692,0.1,10.2,2629.1387,1.0367,134.711
2021-12-01,2.3316,1.1842,0.8412,0.9585,33.28,72.6749,9.0408,0.1,10.2,2603.4574,0.735,1.75
2022-01-01,2.9416,1.4856,0.8612,0.9427,21.6227,72.0359,13.2817,0.1628,10.2,3001.39,1.0122,2.8484
2022-02-01,2.8587,1.4594,0.8619,0.9361,23.7378,73.9022,5.1,0.2016,24.0735,3223.8118,0.4338,1.75
2022-03-01,2.2995,1.2691,0.8708,0.9395,32.6327,84.3484,8.6805,0.1223,17.9107,3215.5152,0.373,1.75
2022-04-01,1.8642,1.3289,0.839,0.94,32.9875,96.9627,5.3356,0.2613,10.2,3273.3587,0.2948,3.0224
2022-05-01,2.1522,1.3975,0.8378,0.9358,52.163,97.3351,11.4005,0.1874,10.2942,3274.0697,0.3059,5.2262
2022-06-01,2.526,1.6976,0.8251,0.9343,71.6602,98.3448,5.1,0.2019,23.5296,3204.7078,0.3598,1.75
2022-07-01,2.8425,1.9255,0.8074,0.9307,97.8775,105.8611,5.1,0.2511,10.2,2892.9307,0.2192,1.75
2022-08-01,2.4014,2.0462,0.7949,0.9327,121.3925,99.2279,5.1,0.1482,10.2,2845.8007,0.3057,5.3431
2022-09-01,2.5313,2.4988,0.7902,0.9524,243.7159,101.4849,5.1,0.2092,17.5436,2652.9501,0.331,1.75
2022-10-01,2.5992,2.0867,0.8028,0.9167,221.7304,101.1523,6.9589,0.1385,13.7596,2358.001,0.2,7.5467
2022-11-01,2.7292,1.9141,0.7842,0.9136,29.0887,103.3028,6.6128,0.1081,24.7823,2456.677,0.2,7.6087
2022-12-01,3.2756,1.6797,0.7847,0.916,49.4979,96.9345,5.9015,0.2256,25.0352,2533.5425,0.2169,12.1723
2023-01-01,3.435,1.6087,0.7782,0.92,39.8392,85.7015,5.8396,0.1,45.9605,2134.6285,0.214,40.6237
2023-02-01,3.9619,1.3131,0.7739,0.9151,41.8756,72.8422,7.6208,0.1,10.2,2107.7177,0.2223,48.1139
2023-03-01,4.0055,1.4601,0.7875,0.8919,65.7915,67.0159,5.1,0.2275,10.8227,2285.4153,0.2374,1.75
2023-04-01,4.2541,1.4386,0.7948,0.8964,20.256,64.8841,8.987,0.6557,10.2,2489.8237,0.2782,1.75
2023-05-01,4.8524,1.1587,0.8132,0.919,11.0,63.6119,14.8447,0.4683,10.2,2704.421,0.4095,1.7913
2023-06-01,3.1901,1.0167,0.8108,0.8987,11.0,72.6146,20.3973,0.1,10.2,2705.5054,0.2284,1.75
2023-07-01,2.9459,1.0917,0.8008,0.9101,11.0,78.4598,30.7382,0.1,19.0417,2499.4715,0.2,1.75
2023-08-01,2.6203,1.2522,0.7976,0.9059,13.3416,73.0224,38.9666,0.1,12.0165,2258.2303,0.2,1.75
2023-09-01,2.2322,1.6401,0.8009,0.9052,16.6115,74.9013,107.8428,0.1,10.2,2320.5692,0.243,4.2161
2023-10-01,2.0937,2.3538,0.8032,0.8916,18.8322,72.7348,98.7613,0.1,10.2,2391.3216,0.3916,4.5374
2023-11-01,2.8217,2.5124,0.788,0.8876,11.0,71.2906,71.7005,0.1531,24.2507,2651.9787,0.3345,2.7934
2023-12-01,2.2534,2.1702,0.7892,0.9045,11.0,72.3022,24.5656,0.2216,10.2,2896.9291,0.2,2.4878
2024-01-01,2.7604,1.5217,0.7924,0.9123,11.5064,75.5843,5.1,0.1,10.2,2854.4425,0.2,3.4141
2024-02-01,1.6843,1.6054,0.8269,0.9352,11.0,73.7631,5.1,0.1617,10.2,2537.8427,0.2,6.571
2024-03-01,1.5643,1.4411,0.8534,0.9509,13.4356,79.468,5.1,0.4117,28.1747,2460.7894,0.2,1.75
2024-04-01,1.6348,1.3802,0.8402,0.9567,17.7609,72.9224,5.5528,0.4702,37.9834,2500.6784,0.2,1.75
2024-05-01,1.8669,1.2843,0.8355,0.9804,19.0546,73.003,7.9179,0.3624,72.171,2450.243,0.2213,4.6716
2024-06-01,2.1815,1.285,0.8138,0.986,25.5538,86.7355,8.9866,0.3332,10.2,2321.2805,0.2092,1.9982
2024-07-01,2.5851,1.5095,0.8053,0.9971,28.3011,88.087,5.1,0.4895,10.2,2366.6425,0.3222,1.75
2024-08-01,2.3759,1.5686,0.8095,0.9921,35.0012,97.1442,9.8409,0.1,16.2393,2257.575,0.2447,3.0023
2024-09-01,2.1237,1.5571,0.8262,0.9923,24.5087,97.6716,16.8285,0.1231,18.0467,2129.7303,0.2,5.1311
2024-10-01,2.5492,1.3489,0.8154,0.9816,22.8163,101.6476,15.0713,0.1,30.1813,2182.9764,0.2595,1.75
2024-11-01,2.436,1.0491,0.806,0.995,24.9783,101.0867,7.1482,0.2446,24.2394,2102.426,0.2,2.4609
2024-12-01,1.7191,1.0042,0.7758,0.9773,34.0657,99.7029,11.2741,0.2233,32.6724,2142.8553,0.2517,5.199
2025-01-01,1.279,1.0255,0.7738,0.9878,28.4475,93.9629,13.7715,0.5018,39.2155,2189.2699,0.2804,8.111
2025-02-01,1.0227,1.3162,0.7597,0.9844,35.0711,96.7877,5.1,0.1083,74.9576,1968.6432,0.2797,15.5879
2025-03-01,1.1585,1.3675,0.753,1.0004,31.2214,90.7278,5.5647,0.1654,145.0324,1883.4723,0.4893,1.75
2025-04-01,1.2134,1.5875,0.742,1.0104,29.8292,95.0143,7.5848,0.2139,10.2,2115.4367,0.3726,2.7174
2025-05-01,1.423,1.4974,0.7412,1.0361,40.7441,102.3561,5.1,0.1,10.2,1898.4382,0.7212,1.75
2025-06-01,1.296,1.2663,0.7192,1.0458,11.0,104.9146,6.7035,0.1241,22.7635,1547.7837,0.6636,1.75
2025-07-01,1.3585,1.1169,0.7016,1.0208,11.0,102.5812,5.1,0.2436,54.6432,1297.8997,0.31,4.0802
2025-08-01,1.5691,1.0282,0.7283,1.0188,11.0,105.7914,11.7666,0.1961,10.2,1302.5191,0.3363,12.9038
2025-09-01,1.4686,1.373,0.7127,1.0006,11.0,103.2628,25.1373,0.1,10.2,1307.3231,0.2,46.3625
2025-10-01,1.6364,1.2362,0.7,0.9923,11.0,110.0797,20.0711,0.11,12.1314,1295.292,0.2,134.1068
2025-11-01,1.3971,1.4131,0.7231,1.0133,14.8172,95.3299,26.9042,0.1,25.9197,1432.8592,0.2524,111.8942
2025-12-01,1.2937,1.2546,0.7602,1.0216,13.2273,92.9188,5.1,0.1,80.3547,1101.6368,0.3306,168.0738
