date,segment,volume,avg_price_usd,incentive_pct,region
2022-02-01,Luxury_SUV,7105,105494.7,0.0284,UK
2022-03-01,Luxury_SUV,6139,103468.13,0.0369,UK
2022-04-01,Luxury_SUV,8711,105410.36,0.0265,ROW
2022-05-01,Luxury_SUV,7273,101959.88,0.0533,EU
2022-06-01,Luxury_SUV,7652,107641.24,0.039,ROW
2022-07-01,Luxury_SUV,8308,104506.59,0.0354,ROW
2022-08-01,Luxury_SUV,7954,103566.8,0.0461,ROW
2022-09-01,Luxury_SUV,7254,109974.14,0.0734,CN
2022-10-01,Luxury_SUV,6780,109113.91,0.0663,UK
2022-11-01,Luxury_SUV,6798,106350.58,0.0648,NA
2022-12-01,Luxury_SUV,5511,100690.3,0.0274,CN
2023-01-01,Luxury_SUV,6174,103792.96,0.056,CN
2023-02-01,Luxury_SUV,7420,102181.61,0.0666,ROW
2023-03-01,Luxury_SUV,7219,104485.15,0.0208,NA
2023-04-01,Luxury_SUV,7832,107028.41,0.0273,EU
2023-05-01,Luxury_SUV,7633,101160.74,0.032,CN
2023-06-01,Luxury_SUV,8955,100821.86,0.0279,NA
2023-07-01,Luxury_SUV,8531,103474.87,0.0381,EU
2023-08-01,Luxury_SUV,8160,109212.8,0.0372,ROW
2023-09-01,Luxury_SUV,7158,105763.86,0.058,NA
2023-10-01,Luxury_SUV,6801,105718.92,0.078,UK
2023-11-01,Luxury_SUV,5927,104094.74,0.048,CN
2023-12-01,Luxury_SUV,6381,108798.44,0.0698,CN
2024-01-01,Luxury_SUV,5284,104487.6,0.0564,CN
2024-02-01,Luxury_SUV,7995,103332.27,0.0425,EU
2024-03-01,Luxury_SUV,7300,99463.16,0.0472,NA
2024-04-01,Luxury_SUV,7103,101545.13,0.069,NA
2024-05-01,Luxury_SUV,7554,103840.02,0.0288,CN
2024-06-01,Luxury_SUV,7826,104227.37,0.0753,NA
2024-07-01,Luxury_SUV,8109,104578.46,0.0269,NA
2024-08-01,Luxury_SUV,7797,105731.34,0.0232,UK
2024-09-01,Luxury_SUV,8023,105489.6,0.0391,EU
2024-10-01,Luxury_SUV,6875,102727.09,0.0226,NA
2024-11-01,Luxury_SUV,7935,111593.48,0.0543,EU
2024-12-01,Luxury_SUV,5950,101495.9,0.07,NA
2025-01-01,Luxury_SUV,6746,99504.55,0.0706,ROW
2025-02-01,Luxury_SUV,6302,103514.7,0.0668,UK
2025-03-01,Luxury_SUV,7313,104674.01,0.0522,EU
2025-04-01,Luxury_SUV,9011,96915.03,0.0431,UK
2025-05-01,Luxury_SUV,8687,103828.47,0.0487,EU
2025-06-01,Luxury_SUV,9845,100168.34,0.042,EU
2025-07-01,Luxury_SUV,8470,101683.37,0.0378,ROW
2025-08-01,Luxury_SUV,8488,110456.78,0.0397,EU
2025-09-01,Luxury_SUV,8609,106382.83,0.0683,EU
2025-10-01,Luxury_SUV,7036,102803.11,0.0641,NA
2025-11-01,Luxury_SUV,7006,104399.45,0.0569,NA
2025-12-01,Luxury_SUV,7390,107301.94,0.0762,NA
2019-01-01,Premium_SUV,7885,70880.52,0.0556,CN
2019-02-01,Premium_SUV,8747,69810.37,0.0352,UK
2019-03-01,Premium_SUV,9494,72673.94,0.0539,UK
2019-04-01,Premium_SUV,8823,72657.43,0.0658,CN
2019-05-01,Premium_SUV,12845,67543.41,0.0759,NA
2019-06-01,Premium_SUV,10128,75188.05,0.0595,EU
2019-07-01,Premium_SUV,10890,73757.73,0.04,CN
2019-08-01,Premium_SUV,11079,72583.94,0.0419,EU
2019-09-01,Premium_SUV,10009,72828.13,0.0762,EU
2019-10-01,Premium_SUV,9294,75199.94,0.0532,ROW
2019-11-01,Premium_SUV,8989,73823.87,0.0426,ROW
2019-12-01,Premium_SUV,9249,73818.33,0.0271,CN
2020-01-01,Premium_SUV,8729,67672.39,0.0553,UK
2020-02-01,Premium_SUV,9531,74828.63,0.0695,NA
2020-03-01,Premium_SUV,8922,70284.67,0.0381,ROW
2020-04-01,Premium_SUV,11262,68948.43,0.0798,CN
2020-05-01,Premium_SUV,11162,72992.27,0.0264,ROW
2020-06-01,Premium_SUV,11199,72298.6,0.0254,CN
2020-07-01,Premium_SUV,12131,70477.91,0.0286,CN
2020-08-01,Premium_SUV,11818,71149.52,0.0594,NA
2020-09-01,Premium_SUV,10236,73791.76,0.0564,CN
2020-10-01,Premium_SUV,8438,66959.39,0.0234,CN
2020-11-01,Premium_SUV,8814,72427.23,0.0619,CN
2020-12-01,Premium_SUV,8777,74923.75,0.0578,CN
2021-01-01,Premium_SUV,8618,68802.04,0.0316,NA
2021-02-01,Premium_SUV,10254,75716.86,0.0567,NA
2021-03-01,Premium_SUV,9564,73025.35,0.073,CN
2021-04-01,Premium_SUV,12068,70693.2,0.031,ROW
2021-05-01,Premium_SUV,11207,72924.24,0.0582,UK
2021-06-01,Premium_SUV,12404,74852.63,0.0381,UK
2021-07-01,Premium_SUV,12876,71283.99,0.0764,NA
2021-08-01,Premium_SUV,11186,72753.36,0.0485,NA
2021-09-01,Premium_SUV,10591,72346.01,0.0383,EU
2021-10-01,Premium_SUV,10018,71944.14,0.0447,EU
2021-11-01,Premium_SUV,8024,67522.36,0.039,NA
2021-12-01,Premium_SUV,8784,76184.42,0.0335,UK
2022-01-01,Premium_SUV,9479,71120.71,0.0589,UK
2022-02-01,Premium_SUV,10306,71267.2,0.0529,EU
2022-03-01,Premium_SUV,10638,77610.98,0.0508,CN
2022-04-01,Premium_SUV,11532,73254.48,0.0502,EU
2022-05-01,Premium_SUV,11300,72929.45,0.0702,EU
2022-06-01,Premium_SUV,12887,73437.66,0.0705,NA
2022-07-01,Premium_SUV,11813,72980.57,0.0304,EU
2022-08-01,Premium_SUV,9832,71275.09,0.0696,CN
2022-09-01,Premium_SUV,11904,73933.6,0.0561,NA
2022-10-01,Premium_SUV,7585,70826.05,0.0797,CN
2022-11-01,Premium_SUV,8948,73004.57,0.0623,EU
2022-12-01,Premium_SUV,9238,71814.02,0.0325,EU
2023-01-01,Premium_SUV,9899,70513.12,0.0702,ROW
2023-02-01,Premium_SUV,9228,70082.58,0.0794,NA
2023-03-01,Premium_SUV,12049,71044.12,0.0248,CN
2023-04-01,Premium_SUV,11904,75379.79,0.029,NA
2023-05-01,Premium_SUV,11837,72977.04,0.034,NA
2023-06-01,Premium_SUV,11976,74479.28,0.0496,NA
2023-07-01,Premium_SUV,10654,70215.34,0.0583,UK
2023-08-01,Premium_SUV,11497,71656.16,0.0235,EU
2023-09-01,Premium_SUV,11551,73431.36,0.0707,EU
2023-10-01,Premium_SUV,10368,76395.76,0.0503,ROW
2023-11-01,Premium_SUV,8966,69770.31,0.0404,EU
2023-12-01,Premium_SUV,8952,70080.2,0.0439,ROW
2024-01-01,Premium_SUV,9610,70346.44,0.0403,NA
2024-02-01,Premium_SUV,10060,70589.7,0.0469,EU
2024-03-01,Premium_SUV,9755,71853.16,0.0367,CN
2024-04-01,Premium_SUV,12059,68857.58,0.0572,EU
2024-05-01,Premium_SUV,12251,72785.06,0.0632,ROW
2024-06-01,Premium_SUV,12446,69684.19,0.0268,CN
2024-07-01,Premium_SUV,11361,70191.08,0.0592,ROW
2024-08-01,Premium_SUV,10781,72537.92,0.064,CN
2024-09-01,Premium_SUV,10755,68432.2,0.0225,CN
2024-10-01,Premium_SUV,9884,73755.22,0.0479,ROW
2024-11-01,Premium_SUV,10116,70752.52,0.0251,UK
2024-12-01,Premium_SUV,9021,73168.84,0.0694,NA
2025-01-01,Premium_SUV,8430,73162.15,0.0266,UK
2025-02-01,Premium_SUV,9193,72964.06,0.0719,CN
2025-03-01,Premium_SUV,11874,72521.95,0.0341,UK
2025-04-01,Premium_SUV,11667,72069.35,0.0509,UK
2025-05-01,Premium_SUV,13210,70847.74,0.0737,UK
2025-06-01,Premium_SUV,11895,66788.39,0.0409,CN
2025-07-01,Premium_SUV,12353,67816.43,0.0438,NA
2025-08-01,Premium_SUV,11980,69595.08,0.0251,EU
2025-09-01,Premium_SUV,9978,73510.26,0.0799,NA
2025-10-01,Premium_SUV,10215,71693.27,0.0545,ROW
2025-11-01,Premium_SUV,8884,68261.75,0.0435,ROW
2025-12-01,Premium_SUV,11106,71623.79,0.0419,NA
2019-01-01,Performance,4934,58555.76,0.0472,UK
2019-02-01,Performance,5505,57436.6,0.0776,CN
2019-03-01,Performance,5042,57404.33,0.0738,NA
2019-04-01,Performance,5095,58838.8,0.0518,CN
2019-05-01,Performance,6547,58473.92,0.038,NA
2019-06-01,Performance,6701,58607.87,0.0725,NA
2019-07-01,Performance,6389,58674.6,0.067,EU
2019-08-01,Performance,6185,60178.0,0.0605,CN
2019-09-01,Performance,5268,57242.39,0.0311,UK
2019-10-01,Performance,5695,57201.62,0.0773,EU
2019-11-01,Performance,4697,59656.57,0.0776,NA
2019-12-01,Performance,4395,53962.58,0.0239,EU
2020-01-01,Performance,4729,59936.56,0.0231,NA
2020-02-01,Performance,5095,59825.56,0.0619,NA
2020-03-01,Performance,5790,57614.53,0.045,NA
2020-04-01,Performance,6303,56198.96,0.0201,EU
2020-05-01,Performance,5672,55279.55,0.0459,CN
2020-06-01,Performance,5881,57832.65,0.0393,NA
2020-07-01,Performance,5549,56394.18,0.0337,EU
2020-08-01,Performance,6376,56016.12,0.0476,CN
2020-09-01,Performance,5623,58954.81,0.0283,ROW
2020-10-01,Performance,5251,59353.32,0.0219,NA
2020-11-01,Performance,4007,59743.04,0.0542,UK
2020-12-01,Performance,4069,58172.32,0.0712,UK
2021-01-01,Performance,5103,57353.21,0.0713,NA
2021-02-01,Performance,5094,56233.78,0.0562,ROW
2021-03-01,Performance,6165,56397.72,0.0391,CN
2021-04-01,Performance,6300,60174.42,0.0448,EU
2021-05-01,Performance,6732,58592.98,0.0408,NA
2021-06-01,Performance,6239,55773.08,0.0625,CN
2021-07-01,Performance,7125,58444.07,0.0556,NA
2021-08-01,Performance,6223,56097.36,0.0304,EU
2021-09-01,Performance,5110,57910.92,0.021,ROW
2021-10-01,Performance,5664,58019.92,0.0738,CN
2021-11-01,Performance,4899,56116.58,0.0364,NA
2021-12-01,Performance,4385,58889.53,0.0598,CN
2022-01-01,Performance,4946,59732.52,0.0339,CN
2022-02-01,Performance,5335,56529.62,0.0532,EU
2022-03-01,Performance,5934,60239.96,0.054,CN
2022-04-01,Performance,5584,57444.75,0.0509,NA
2022-05-01,Performance,6226,58440.02,0.0445,NA
2022-06-01,Performance,6820,57300.53,0.061,NA
2022-07-01,Performance,5951,57162.64,0.032,CN
2022-08-01,Performance,6399,55977.98,0.0482,CN
2022-09-01,Performance,5827,58053.8,0.051,CN
2022-10-01,Performance,4234,58688.92,0.0542,NA
2022-11-01,Performance,4920,56689.97,0.0679,NA
2022-12-01,Performance,5531,61197.05,0.0214,ROW
2023-01-01,Performance,5104,61051.42,0.0733,EU
2023-02-01,Performance,5578,63531.21,0.0549,EU
2023-03-01,Performance,6322,57370.41,0.0481,NA
2023-04-01,Performance,6333,58484.72,0.0279,NA
2023-05-01,Performance,6876,54629.68,0.0773,NA
2023-06-01,Performance,5997,57898.36,0.0729,NA
2023-07-01,Performance,7114,55664.62,0.0513,EU
2023-08-01,Performance,6332,58485.22,0.0489,ROW
2023-09-01,Performance,5952,54708.01,0.0266,NA
2023-10-01,Performance,5389,57820.05,0.0726,ROW
2023-11-01,Performance,5560,56066.68,0.0772,NA
2023-12-01,Performance,5173,60166.21,0.0532,NA
2024-01-01,Performance,4477,56550.52,0.0525,NA
2024-02-01,Performance,5536,57457.56,0.0711,UK
2024-03-01,Performance,5564,58833.24,0.0423,EU
2024-04-01,Performance,6487,57743.45,0.0324,ROW
2024-05-01,Performance,7889,57607.75,0.026,NA
2024-06-01,Performance,6309,56691.94,0.0448,EU
2024-07-01,Performance,6455,59718.08,0.0711,CN
2024-08-01,Performance,5974,58921.18,0.0349,NA
2024-09-01,Performance,5877,56491.41,0.0733,CN
2024-10-01,Performance,5512,61274.98,0.0518,EU
2024-11-01,Performance,5165,58131.74,0.0275,ROW
2024-12-01,Performance,5629,60866.47,0.0298,UK
2025-01-01,Performance,4792,57847.09,0.0218,NA
2025-02-01,Performance,5715,59542.33,0.0565,EU
2025-03-01,Performance,6225,57381.08,0.0312,ROW
2025-04-01,Performance,6751,51651.76,0.0481,NA
2025-05-01,Performance,7158,55977.37,0.023,EU
2025-06-01,Performance,6756,61902.68,0.0651,CN
2025-07-01,Performance,7810,58227.99,0.0463,UK
2025-08-01,Performance,6570,55625.35,0.0369,NA
2025-09-01,Performance,6592,58060.22,0.0291,UK
2025-10-01,Performance,5788,59073.26,0.0391,CN
2025-11-01,Performance,5830,57282.53,0.056,EU
2025-12-01,Performance,5435,55336.56,0.0306,UK
2019-01-01,EV,3360,83554.67,0.047,CN
2019-02-01,EV,3390,80812.34,0.0381,ROW
2019-03-01,EV,4302,85234.43,0.0442,UK
2019-04-01,EV,4299,82298.1,0.0744,EU
2019-05-01,EV,4245,80205.95,0.0445,EU
2019-06-01,EV,4349,82836.92,0.06,UK
2019-07-01,EV,4538,82931.95,0.0396,NA
2019-08-01,EV,3914,77928.47,0.0348,UK
2019-09-01,EV,3815,81326.33,0.0283,NA
2019-10-01,EV,3616,82777.48,0.0322,EU
2019-11-01,EV,2757,81103.48,0.0566,NA
2019-12-01,EV,3244,84572.01,0.0786,EU
2020-01-01,EV,3194,83193.5,0.044,CN
2020-02-01,EV,3823,80627.88,0.0762,CN
2020-03-01,EV,3544,84395.78,0.0494,UK
2020-04-01,EV,3880,79886.35,0.0748,ROW
2020-05-01,EV,4017,83076.28,0.0647,CN
2020-06-01,EV,4473,88015.02,0.0474,NA
2020-07-01,EV,4416,83011.48,0.0355,UK
2020-08-01,EV,4107,85576.96,0.069,CN
2020-09-01,EV,3675,81851.78,0.0402,CN
2020-10-01,EV,4005,81809.7,0.0665,NA
2020-11-01,EV,3320,78081.73,0.0316,NA
2020-12-01,EV,3658,88910.66,0.076,ROW
2021-01-01,EV,3459,81627.93,0.0674,NA
2021-02-01,EV,3645,80995.5,0.0267,CN
2021-03-01,EV,4116,81319.32,0.0531,EU
2021-04-01,EV,4480,82443.7,0.0795,ROW
2021-05-01,EV,4411,85884.8,0.0637,ROW
2021-06-01,EV,4970,84780.04,0.0455,NA
2021-07-01,EV,4633,79300.55,0.0672,CN
2021-08-01,EV,3970,85206.77,0.0393,CN
2021-09-01,EV,3864,79165.47,0.0736,NA
2021-10-01,EV,3682,84788.85,0.0292,EU
2021-11-01,EV,3175,83107.78,0.02,EU
2021-12-01,EV,3309,81546.93,0.0591,CN
2022-01-01,EV,3431,81400.02,0.0716,CN
2022-02-01,EV,3605,80312.8,0.0256,EU
2022-03-01,EV,4398,82151.79,0.0651,EU
2022-04-01,EV,4294,86228.24,0.0421,NA
2022-05-01,EV,4323,82035.74,0.0271,NA
2022-06-01,EV,4465,84506.85,0.0694,EU
2022-07-01,EV,4882,82670.71,0.0592,EU
2022-08-01,EV,4358,82003.3,0.0785,CN
2022-09-01,EV,3568,79079.81,0.0594,NA
2022-10-01,EV,3279,79576.51,0.0531,CN
2022-11-01,EV,4019,80987.1,0.023,UK
2022-12-01,EV,2912,81712.47,0.0451,CN
2023-01-01,EV,3072,80125.54,0.0431,NA
2023-02-01,EV,3877,78751.6,0.0538,UK
2023-03-01,EV,4268,81973.83,0.0327,CN
2023-04-01,EV,4501,83507.89,0.0734,EU
2023-05-01,EV,4975,81368.63,0.0236,NA
2023-06-01,EV,5429,78979.12,0.0608,NA
2023-07-01,EV,4227,78746.55,0.0454,NA
2023-08-01,EV,4364,80399.61,0.0392,EU
2023-09-01,EV,3811,87612.82,0.0359,UK
2023-10-01,EV,3649,81542.55,0.0758,NA
2023-11-01,EV,3183,77545.88,0.0572,NA
2023-12-01,EV,3872,81890.69,0.0692,EU
2024-01-01,EV,3813,79783.79,0.0441,EU
2024-02-01,EV,3645,83376.47,0.0684,NA
2024-03-01,EV,3765,79087.04,0.0496,ROW
2024-04-01,EV,4485,82804.44,0.0551,NA
2024-05-01,EV,4903,83520.75,0.0262,CN
2024-06-01,EV,4396,86141.62,0.0445,EU
2024-07-01,EV,4728,80986.11,0.076,EU
2024-08-01,EV,3922,84379.56,0.0541,EU
2024-09-01,EV,4275,80215.54,0.0392,EU
2024-10-01,EV,3855,86279.53,0.03,CN
2024-11-01,EV,3671,83957.61,0.0538,CN
2024-12-01,EV,3531,79943.3,0.0757,UK
2025-01-01,EV,3827,85780.94,0.0767,EU
2025-02-01,EV,4006,80465.94,0.0203,NA
2025-03-01,EV,4758,82894.7,0.0216,CN
2025-04-01,EV,3747,77045.31,0.0479,NA
2025-05-01,EV,4869,78737.07,0.0727,EU
2025-06-01,EV,5186,82417.48,0.0296,CN
2025-07-01,EV,3972,82633.8,0.0779,ROW
2025-08-01,EV,4320,79152.64,0.0557,CN
2025-09-01,EV,3541,83511.11,0.0489,UK
2025-10-01,EV,3155,79548.81,0.0455,EU
2025-11-01,EV,3605,79097.2,0.0677,CN
2025-12-01,EV,3745,83391.03,0.0725,NA
