date,segment,production_units,sales_units,ending_inventory,capacity_utilization_pct,warranty_claims
2023-12-01,Luxury_SUV,9324,10445,36338,84.8,241
2024-01-01,Luxury_SUV,9057,9022,36373,82.3,120
2024-02-01,Luxury_SUV,9367,8256,37484,85.2,118
2024-03-01,Luxury_SUV,9559,10397,36646,86.9,129
2024-04-01,Luxury_SUV,8044,7203,37487,73.1,72
2024-05-01,Luxury_SUV,10746,8510,39723,97.7,94
2024-06-01,Luxury_SUV,10506,7490,42739,95.5,99
2024-07-01,Luxury_SUV,9756,8274,44221,88.7,136
2024-08-01,Luxury_SUV,9016,9079,44158,82.0,108
2024-09-01,Luxury_SUV,9249,9416,43991,84.1,94
2024-10-01,Luxury_SUV,9122,7780,45333,82.9,139
2024-11-01,Luxury_SUV,8361,8340,45354,76.0,168
2024-12-01,Luxury_SUV,7950,8742,44562,72.3,88
2025-01-01,Luxury_SUV,9614,8175,46001,87.4,107
2025-02-01,Luxury_SUV,10085,9300,46786,91.7,225
2025-03-01,Luxury_SUV,9025,7942,47869,82.0,66
2025-04-01,Luxury_SUV,9388,8902,48355,85.3,87
2025-05-01,Luxury_SUV,9249,8959,48645,84.1,218
2025-06-01,Luxury_SUV,10887,7769,51763,99.0,168
2025-07-01,Luxury_SUV,7825,8058,51530,71.1,66
2025-08-01,Luxury_SUV,10272,7906,53896,93.4,170
2025-09-01,Luxury_SUV,7198,8529,52565,65.4,156
2025-10-01,Luxury_SUV,8681,7743,53503,78.9,147
2025-11-01,Luxury_SUV,7555,7094,53964,68.7,86
2025-12-01,Luxury_SUV,7986,7501,54449,72.6,164
2019-01-01,Premium_SUV,16669,10454,25590,100.0,189
2019-02-01,Premium_SUV,13357,14950,23997,86.2,198
2019-03-01,Premium_SUV,12599,13475,23121,81.3,145
2019-04-01,Premium_SUV,12430,12063,23488,80.2,120
2019-05-01,Premium_SUV,12609,11857,24240,81.3,130
2019-06-01,Premium_SUV,12199,13001,23438,78.7,254
2019-07-01,Premium_SUV,13117,12816,23739,84.6,212
2019-08-01,Premium_SUV,12916,11152,25503,83.3,97
2019-09-01,Premium_SUV,12791,15515,22779,82.5,274
2019-10-01,Premium_SUV,13415,11088,25106,86.5,159
2019-11-01,Premium_SUV,13253,10546,27813,85.5,233
2019-12-01,Premium_SUV,13256,13015,28054,85.5,126
2020-01-01,Premium_SUV,14114,12975,29193,91.1,319
2020-02-01,Premium_SUV,12307,12679,28821,79.4,239
2020-03-01,Premium_SUV,12539,12110,29250,80.9,207
2020-04-01,Premium_SUV,13113,14551,27812,84.6,230
2020-05-01,Premium_SUV,12610,12544,27878,81.4,157
2020-06-01,Premium_SUV,12436,9547,30767,80.2,144
2020-07-01,Premium_SUV,15147,9893,36021,97.7,140
2020-08-01,Premium_SUV,12492,12175,36338,80.6,239
2020-09-01,Premium_SUV,12484,14285,34537,80.5,336
2020-10-01,Premium_SUV,15154,14095,35596,97.8,241
2020-11-01,Premium_SUV,15169,12951,37814,97.9,280
2020-12-01,Premium_SUV,12533,12373,37974,80.9,159
2021-01-01,Premium_SUV,14194,10444,41724,91.6,206
2021-02-01,Premium_SUV,12670,14086,40308,81.7,135
2021-03-01,Premium_SUV,15268,13403,42173,98.5,320
2021-04-01,Premium_SUV,12830,10454,44549,82.8,225
2021-05-01,Premium_SUV,14868,13259,46158,95.9,285
2021-06-01,Premium_SUV,11607,12321,45444,74.9,222
2021-07-01,Premium_SUV,12049,12754,44739,77.7,224
2021-08-01,Premium_SUV,13702,8719,49722,88.4,147
2021-09-01,Premium_SUV,13009,12912,49819,83.9,211
2021-10-01,Premium_SUV,10251,11354,48716,66.1,113
2021-11-01,Premium_SUV,10873,14558,45031,70.1,279
2021-12-01,Premium_SUV,14010,11385,47656,90.4,220
2022-01-01,Premium_SUV,14296,12631,49321,92.2,264
2022-02-01,Premium_SUV,13265,10932,51654,85.6,145
2022-03-01,Premium_SUV,12719,12865,51508,82.1,307
2022-04-01,Premium_SUV,11549,12077,50980,74.5,246
2022-05-01,Premium_SUV,11956,10996,51940,77.1,233
2022-06-01,Premium_SUV,14007,12288,53659,90.4,304
2022-07-01,Premium_SUV,14023,13575,54107,90.5,135
2022-08-01,Premium_SUV,15923,11952,58078,100.0,120
2022-09-01,Premium_SUV,14988,11561,61505,96.7,94
2022-10-01,Premium_SUV,14608,9787,66326,94.2,127
2022-11-01,Premium_SUV,10848,11039,66135,70.0,144
2022-12-01,Premium_SUV,13593,12699,67029,87.7,125
2023-01-01,Premium_SUV,9932,12355,64606,64.1,158
2023-02-01,Premium_SUV,13510,13358,64758,87.2,333
2023-03-01,Premium_SUV,12061,12485,64334,77.8,119
2023-04-01,Premium_SUV,13212,13092,64454,85.2,158
2023-05-01,Premium_SUV,12684,12575,64563,81.8,142
2023-06-01,Premium_SUV,12408,13078,63893,80.1,112
2023-07-01,Premium_SUV,12764,13556,63101,82.3,248
2023-08-01,Premium_SUV,11242,9973,64370,72.5,223
2023-09-01,Premium_SUV,12040,13432,62978,77.7,319
2023-10-01,Premium_SUV,13172,13959,62191,85.0,310
2023-11-01,Premium_SUV,12827,14368,60650,82.8,268
2023-12-01,Premium_SUV,11835,11349,61136,76.4,232
2024-01-01,Premium_SUV,11769,11715,61190,75.9,235
2024-02-01,Premium_SUV,15139,10128,66201,97.7,90
2024-03-01,Premium_SUV,11572,13006,64767,74.7,299
2024-04-01,Premium_SUV,10551,13709,61609,68.1,131
2024-05-01,Premium_SUV,12227,10612,63224,78.9,167
2024-06-01,Premium_SUV,13469,11977,64716,86.9,212
2024-07-01,Premium_SUV,13384,14317,63783,86.3,187
2024-08-01,Premium_SUV,11009,13925,60867,71.0,265
2024-09-01,Premium_SUV,14356,12865,62358,92.6,214
2024-10-01,Premium_SUV,13367,15294,60431,86.2,153
2024-11-01,Premium_SUV,13006,12519,60918,83.9,165
2024-12-01,Premium_SUV,11824,12787,59955,76.3,240
2025-01-01,Premium_SUV,13322,10979,62298,85.9,128
2025-02-01,Premium_SUV,10239,10538,61999,66.1,90
2025-03-01,Premium_SUV,12537,15273,59263,80.9,180
2025-04-01,Premium_SUV,11673,12809,58127,75.3,255
2025-05-01,Premium_SUV,12549,12558,58118,81.0,167
2025-06-01,Premium_SUV,12478,13919,56677,80.5,213
2025-07-01,Premium_SUV,12924,16297,53304,83.4,272
2025-08-01,Premium_SUV,14767,12412,55659,95.3,293
2025-09-01,Premium_SUV,12843,12006,56496,82.9,259
2025-10-01,Premium_SUV,13472,10950,59018,86.9,179
2025-11-01,Premium_SUV,13707,13302,59423,88.4,296
2025-12-01,Premium_SUV,13390,11827,60986,86.4,161
2019-01-01,Performance,5249,5753,7621,80.8,118
2019-02-01,Performance,5234,3851,9004,80.5,86
2019-03-01,Performance,6155,5727,9432,94.7,104
2019-04-01,Performance,4602,3218,10816,70.8,78
2019-05-01,Performance,6727,5428,12115,100.0,72
2019-06-01,Performance,5668,4131,13652,87.2,60
2019-07-01,Performance,5470,5089,14033,84.2,58
2019-08-01,Performance,5603,5580,14056,86.2,60
2019-09-01,Performance,5902,6204,13754,90.8,108
2019-10-01,Performance,4935,6014,12675,75.9,62
2019-11-01,Performance,6177,4858,13994,95.0,45
2019-12-01,Performance,5487,5313,14168,84.4,84
2020-01-01,Performance,5220,4534,14854,80.3,106
2020-02-01,Performance,5661,4128,16387,87.1,53
2020-03-01,Performance,5124,5891,15620,78.8,96
2020-04-01,Performance,4990,4049,16561,76.8,90
2020-05-01,Performance,5550,5029,17082,85.4,97
2020-06-01,Performance,5330,5278,17134,82.0,75
2020-07-01,Performance,5799,5576,17357,89.2,124
2020-08-01,Performance,5718,5338,17737,88.0,120
2020-09-01,Performance,5369,4946,18160,82.6,88
2020-10-01,Performance,4857,4336,18681,74.7,71
2020-11-01,Performance,5138,4568,19251,79.0,67
2020-12-01,Performance,5597,5179,19669,86.1,57
2021-01-01,Performance,5904,5626,19947,90.8,47
2021-02-01,Performance,5063,5502,19508,77.9,72
2021-03-01,Performance,4632,5101,19039,71.3,64
2021-04-01,Performance,4929,5269,18699,75.8,130
2021-05-01,Performance,6140,5957,18882,94.5,124
2021-06-01,Performance,5613,3579,20916,86.4,87
2021-07-01,Performance,5257,4448,21725,80.9,44
2021-08-01,Performance,6498,4381,23842,100.0,76
2021-09-01,Performance,5544,6193,23193,85.3,153
2021-10-01,Performance,5551,6329,22415,85.4,131
2021-11-01,Performance,5187,4072,23530,79.8,35
2021-12-01,Performance,5187,4807,23910,79.8,118
2022-01-01,Performance,5547,3992,25465,85.3,59
2022-02-01,Performance,5103,5974,24594,78.5,104
2022-03-01,Performance,5071,5497,24168,78.0,120
2022-04-01,Performance,5659,4050,25777,87.1,35
2022-05-01,Performance,4856,5298,25335,74.7,106
2022-06-01,Performance,5658,4621,26372,87.0,95
2022-07-01,Performance,5803,5302,26873,89.3,63
2022-08-01,Performance,6202,4859,28216,95.4,39
2022-09-01,Performance,5562,4743,29035,85.6,40
2022-10-01,Performance,5127,4878,29284,78.9,94
2022-11-01,Performance,4853,3577,30560,74.7,49
2022-12-01,Performance,6797,4882,32475,100.0,88
2023-01-01,Performance,5248,4959,32764,80.7,114
2023-02-01,Performance,4813,5522,32055,74.0,76
2023-03-01,Performance,4607,5600,31062,70.9,139
2023-04-01,Performance,5509,4926,31645,84.8,50
2023-05-01,Performance,5749,4020,33374,88.4,58
2023-06-01,Performance,5205,6346,32233,80.1,65
2023-07-01,Performance,6320,4428,34125,97.2,50
2023-08-01,Performance,5589,4580,35134,86.0,86
2023-09-01,Performance,6073,4935,36272,93.4,119
2023-10-01,Performance,5407,4559,37120,83.2,58
2023-11-01,Performance,5372,4037,38455,82.6,54
2023-12-01,Performance,5677,4806,39326,87.3,99
2024-01-01,Performance,5841,5322,39845,89.9,69
2024-02-01,Performance,4703,5689,38859,72.4,60
2024-03-01,Performance,6707,5418,40148,100.0,116
2024-04-01,Performance,5326,5676,39798,81.9,91
2024-05-01,Performance,6094,4806,41086,93.8,105
2024-06-01,Performance,5145,4862,41369,79.2,54
2024-07-01,Performance,5845,6119,41095,89.9,116
2024-08-01,Performance,5186,5349,40932,79.8,82
2024-09-01,Performance,5932,3682,43182,91.3,35
2024-10-01,Performance,4992,3637,44537,76.8,33
2024-11-01,Performance,4920,5015,44442,75.7,66
2024-12-01,Performance,5283,4475,45250,81.3,65
2025-01-01,Performance,5984,4511,46723,92.1,51
2025-02-01,Performance,5719,5001,47441,88.0,75
2025-03-01,Performance,5409,5601,47249,83.2,126
2025-04-01,Performance,5410,5008,47651,83.2,81
2025-05-01,Performance,4569,5591,46629,70.3,118
2025-06-01,Performance,4862,5083,46408,74.8,68
2025-07-01,Performance,4181,4173,46416,64.3,81
2025-08-01,Performance,6208,5329,47295,95.5,126
2025-09-01,Performance,4799,4418,47676,73.8,88
2025-10-01,Performance,5448,5502,47622,83.8,56
2025-11-01,Performance,5567,5248,47941,85.6,58
2025-12-01,Performance,5853,4092,49702,90.0,75
2019-01-01,EV,1650,1638,2262,91.7,29
2019-02-01,EV,1221,1442,2041,67.8,32
2019-03-01,EV,1769,1517,2293,98.3,32
2019-04-01,EV,1366,1427,2232,75.9,33
2019-05-01,EV,1347,1793,1786,74.8,44
2019-06-01,EV,1670,1259,2197,92.8,16
2019-07-01,EV,1595,1504,2288,88.6,17
2019-08-01,EV,1595,1558,2325,88.6,14
2019-09-01,EV,1551,1103,2773,86.2,9
2019-10-01,EV,1416,1194,2995,78.7,23
2019-11-01,EV,1759,1669,3085,97.7,38
2019-12-01,EV,1702,1427,3360,94.6,14
2020-01-01,EV,1335,1496,3199,74.2,24
2020-02-01,EV,1304,1415,3088,72.4,11
2020-03-01,EV,1769,1585,3272,98.3,16
2020-04-01,EV,1537,1432,3377,85.4,24
2020-05-01,EV,1337,1397,3317,74.3,12
2020-06-01,EV,1312,1517,3112,72.9,29
2020-07-01,EV,1231,1402,2941,68.4,25
2020-08-01,EV,1658,1609,2990,92.1,19
2020-09-01,EV,1373,1229,3134,76.3,18
2020-10-01,EV,1556,1656,3034,86.4,29
2020-11-01,EV,1480,1201,3313,82.2,18
2020-12-01,EV,1532,1388,3457,85.1,29
2021-01-01,EV,1537,1334,3660,85.4,12
2021-02-01,EV,1546,1352,3854,85.9,26
2021-03-01,EV,1540,1219,4175,85.6,13
2021-04-01,EV,1715,1215,4675,95.3,19
2021-05-01,EV,1220,1430,4465,67.8,20
2021-06-01,EV,1482,1643,4304,82.3,33
2021-07-01,EV,1559,1706,4157,86.6,16
2021-08-01,EV,1443,1289,4311,80.2,27
2021-09-01,EV,1451,1681,4081,80.6,34
2021-10-01,EV,1449,1767,3763,80.5,25
2021-11-01,EV,1763,1408,4118,97.9,20
2021-12-01,EV,1554,1997,3675,86.3,35
2022-01-01,EV,1393,1599,3469,77.4,38
2022-02-01,EV,1426,1588,3307,79.2,22
2022-03-01,EV,1541,1427,3421,85.6,15
2022-04-01,EV,1563,1076,3908,86.8,26
2022-05-01,EV,1352,1165,4095,75.1,24
2022-06-01,EV,1512,1300,4307,84.0,14
2022-07-01,EV,1298,1351,4254,72.1,21
2022-08-01,EV,1493,1475,4272,82.9,23
2022-09-01,EV,1608,1436,4444,89.3,23
2022-10-01,EV,1206,1422,4228,67.0,18
2022-11-01,EV,1484,1419,4293,82.4,33
2022-12-01,EV,1642,1225,4710,91.2,29
2023-01-01,EV,1336,1477,4569,74.2,19
2023-02-01,EV,1435,974,5030,79.7,21
2023-03-01,EV,1375,1324,5081,76.4,14
2023-04-01,EV,1505,1368,5218,83.6,30
2023-05-01,EV,1398,1269,5347,77.7,16
2023-06-01,EV,1269,1495,5121,70.5,31
2023-07-01,EV,1477,1710,4888,82.1,41
2023-08-01,EV,1809,1384,5313,100.0,13
2023-09-01,EV,1510,1231,5592,83.9,13
2023-10-01,EV,1559,1525,5626,86.6,18
2023-11-01,EV,1648,1633,5641,91.6,37
2023-12-01,EV,1355,1520,5476,75.3,18
2024-01-01,EV,1217,1367,5326,67.6,32
2024-02-01,EV,1517,1322,5521,84.3,22
2024-03-01,EV,1782,1394,5909,99.0,23
2024-04-01,EV,1465,1438,5936,81.4,14
2024-05-01,EV,1567,1634,5869,87.1,39
2024-06-01,EV,1546,1531,5884,85.9,17
2024-07-01,EV,1486,1594,5776,82.6,15
2024-08-01,EV,1531,1584,5723,85.1,29
2024-09-01,EV,1680,1477,5926,93.3,25
2024-10-01,EV,1550,897,6579,86.1,19
2024-11-01,EV,952,1114,6417,52.9,11
2024-12-01,EV,1571,1215,6773,87.3,10
2025-01-01,EV,1705,1337,7141,94.7,24
2025-02-01,EV,1499,1498,7142,83.3,17
2025-03-01,EV,1519,1244,7417,84.4,23
2025-04-01,EV,1494,1179,7732,83.0,15
2025-05-01,EV,1388,1591,7529,77.1,16
2025-06-01,EV,1457,1405,7581,80.9,20
2025-07-01,EV,1592,1245,7928,88.4,25
2025-08-01,EV,1665,1350,8243,92.5,24
2025-09-01,EV,1566,1508,8301,87.0,20
2025-10-01,EV,1534,1557,8278,85.2,34
2025-11-01,EV,1594,1172,8700,88.6,27
2025-12-01,EV,1454,1338,8816,80.8,17
