date,segment,vehicles_sold,claims_count,claims_per_1000,avg_claim_gbp,warranty_cost_gbp,warranty_pct_revenue,dominant_failure_mode,accrual_gbp,accrual_adequacy_pct
2020-12-01,Luxury_SUV,8002,207,25.89,1395.29,288825.81,0.048,Body,18006375.2,6234.34
2020-12-01,Performance,5116,123,24.11,1335.75,164297.15,0.073,Infotainment,6303193.88,3836.46
2020-12-01,Premium_SUV,11209,347,30.93,1188.95,412564.48,0.075,Body,17026514.06,4126.99
2021-01-01,EV,1610,34,20.98,3451.16,117339.34,0.123,Battery/EV,3231500.2,2753.98
2021-01-01,Luxury_SUV,8046,219,27.18,1361.16,298093.96,0.049,Electrical,18103974.62,6073.24
2021-01-01,Performance,5086,117,23.04,1318.83,154302.53,0.069,Infotainment,6266165.8,4060.96
2021-01-01,Premium_SUV,10850,328,30.2,1174.05,385089.39,0.072,Suspension,16482496.6,4280.17
2021-02-01,EV,1579,31,19.94,3714.2,115140.27,0.124,Powertrain,3167694.33,2751.16
2021-02-01,Luxury_SUV,8614,208,24.1,1289.79,268276.28,0.042,Suspension,19383189.22,7225.09
2021-02-01,Performance,5707,124,21.73,1299.71,161164.13,0.064,Body,7032000.86,4363.25
2021-02-01,Premium_SUV,12601,380,30.15,1173.04,445753.98,0.072,Suspension,19142334.5,4294.37
2021-03-01,EV,1758,35,20.12,3725.4,130389.03,0.126,Body,3528267.39,2705.95
2021-03-01,Luxury_SUV,9920,220,22.13,1149.74,252943.74,0.034,Electrical,22320573.98,8824.32
2021-03-01,Performance,5590,127,22.75,1238.43,157280.34,0.064,Body,6887208.79,4378.94
2021-03-01,Premium_SUV,13683,393,28.73,1163.62,457302.74,0.068,Suspension,20785877.75,4545.32
2021-04-01,EV,1756,34,19.09,3618.35,123023.89,0.119,Infotainment,3523869.62,2864.38
2021-04-01,Luxury_SUV,10561,212,20.04,1175.8,249269.82,0.031,Suspension,23762313.11,9532.77
2021-04-01,Performance,5788,124,21.45,1234.58,153087.32,0.06,Powertrain,7131448.88,4658.42
2021-04-01,Premium_SUV,15890,457,28.79,1145.55,523514.8,0.067,Suspension,24138143.45,4610.79
2021-05-01,EV,1901,36,18.72,3514.76,126531.3,0.113,Infotainment,3814218.34,3014.45
2021-05-01,Luxury_SUV,11154,193,17.31,1366.57,263748.56,0.032,Electrical,25096508.86,9515.32
2021-05-01,Performance,6305,121,19.2,1162.69,140686.0,0.051,Powertrain,7768431.76,5521.82
2021-05-01,Premium_SUV,16168,394,24.37,1092.38,430398.1,0.054,Powertrain,24560185.07,5706.39
2021-06-01,EV,1839,32,17.41,3445.33,110250.53,0.102,Battery/EV,3689129.73,3346.13
2021-06-01,Luxury_SUV,11384,195,17.14,1406.63,274291.96,0.032,Body,25615026.46,9338.6
2021-06-01,Performance,6641,129,19.44,1140.02,147062.7,0.05,Infotainment,8181825.92,5563.5
2021-06-01,Premium_SUV,15961,365,22.89,1091.59,398428.56,0.051,Powertrain,24244948.47,6085.14
2021-07-01,EV,2038,35,16.95,3411.46,119401.19,0.099,Infotainment,4089817.43,3425.27
2021-07-01,Luxury_SUV,12505,235,18.8,1382.28,324835.96,0.035,Powertrain,28137829.53,8662.17
2021-07-01,Performance,6505,129,19.89,1180.37,152268.32,0.053,Electrical,8015094.11,5263.8
2021-07-01,Premium_SUV,16894,373,22.1,1064.81,397175.65,0.048,Electrical,25661999.67,6461.12
2021-08-01,EV,1670,28,16.87,3367.4,94287.12,0.096,Body,3351225.47,3554.28
2021-08-01,Luxury_SUV,10068,195,19.36,1422.17,277322.5,0.037,Infotainment,22654063.35,8168.85
2021-08-01,Performance,5658,105,18.63,1269.05,133250.55,0.054,Powertrain,6971801.19,5232.1
2021-08-01,Premium_SUV,13387,268,20.0,1021.18,273676.06,0.042,Infotainment,20335883.7,7430.64
2021-09-01,EV,1793,30,16.56,3510.84,105325.24,0.1,Infotainment,3596957.98,3415.1
2021-09-01,Luxury_SUV,9309,194,20.81,1338.05,259581.43,0.037,Body,20946006.87,8069.15
2021-09-01,Performance,5741,114,19.84,1417.06,161544.91,0.064,Electrical,7073769.68,4378.83
2021-09-01,Premium_SUV,12996,266,20.43,1065.44,283408.35,0.045,Powertrain,19741323.96,6965.68
2021-10-01,EV,1557,28,17.85,3260.07,91282.02,0.099,Electrical,3123779.67,3422.12
2021-10-01,Luxury_SUV,8435,198,23.45,1343.93,266098.7,0.042,Suspension,18980881.58,7133.02
2021-10-01,Performance,5370,117,21.74,1362.27,159385.69,0.067,Body,6616380.19,4151.18
2021-10-01,Premium_SUV,11787,250,21.19,1096.02,274005.27,0.047,Body,17905188.84,6534.61
2021-11-01,EV,1612,31,19.05,3417.77,105950.83,0.111,Infotainment,3234081.33,3052.44
2021-11-01,Luxury_SUV,8791,230,26.16,1372.12,315587.45,0.048,Body,19780301.36,6267.77
2021-11-01,Performance,5857,135,23.09,1422.72,192066.59,0.075,Body,7216686.3,3757.39
2021-11-01,Premium_SUV,11551,265,22.97,1023.04,271106.63,0.048,Infotainment,17546817.55,6472.29
2021-12-01,EV,1537,31,19.92,3372.66,104552.32,0.115,Infotainment,3084677.53,2950.37
2021-12-01,Luxury_SUV,8897,236,26.56,1384.53,326749.1,0.049,Powertrain,20020185.48,6127.08
2021-12-01,Performance,5512,135,24.44,1410.44,190409.4,0.078,Infotainment,6791917.15,3567.01
2021-12-01,Premium_SUV,10499,276,26.27,1039.81,286987.95,0.056,Infotainment,15949284.83,5557.48
2022-01-01,EV,1692,36,21.26,3441.17,123882.05,0.124,Suspension,3394554.21,2740.15
2022-01-01,Luxury_SUV,8386,238,28.4,1445.93,344131.6,0.055,Electrical,18870748.53,5483.58
2022-01-01,Performance,4697,107,22.83,1380.74,147739.03,0.071,Electrical,5787218.77,3917.19
2022-01-01,Premium_SUV,12442,332,26.7,1104.17,366584.54,0.06,Powertrain,18900504.89,5155.84
2022-02-01,EV,1683,37,21.86,3288.4,121670.72,0.123,Electrical,3376749.85,2775.32
2022-02-01,Luxury_SUV,8472,235,27.75,1469.84,345413.47,0.054,Powertrain,19063416.49,5519.01
2022-02-01,Performance,5212,121,23.18,1387.6,167899.2,0.073,Powertrain,6421655.88,3824.71
2022-02-01,Premium_SUV,12487,318,25.44,1159.15,368610.42,0.06,Powertrain,18968340.56,5145.9
2022-03-01,EV,1546,31,20.23,3505.5,108670.63,0.119,Battery/EV,3101879.01,2854.39
2022-03-01,Luxury_SUV,9184,235,25.54,1508.47,354490.87,0.051,Powertrain,20665516.74,5829.63
2022-03-01,Performance,5169,115,22.27,1374.43,158059.65,0.069,Electrical,6369059.14,4029.53
2022-03-01,Premium_SUV,12320,312,25.33,1202.24,375097.8,0.062,Powertrain,18715058.4,4989.38
2022-04-01,EV,1865,36,19.3,3667.92,132045.08,0.12,Body,3742686.16,2834.4
2022-04-01,Luxury_SUV,10972,260,23.73,1460.85,379821.59,0.046,Infotainment,24688420.33,6500.0
2022-04-01,Performance,5944,125,21.0,1366.9,170862.2,0.065,Powertrain,7324216.91,4286.62
2022-04-01,Premium_SUV,13736,361,26.3,1192.48,430483.69,0.064,Body,20866023.19,4847.11
2022-05-01,EV,1815,32,17.58,3758.51,120272.25,0.112,Battery/EV,3641111.43,3027.39
2022-05-01,Luxury_SUV,11622,246,21.13,1515.96,372925.13,0.043,Infotainment,26151184.64,7012.45
2022-05-01,Performance,6672,142,21.27,1334.39,189483.63,0.065,Infotainment,8220593.12,4338.42
2022-05-01,Premium_SUV,15909,384,24.12,1144.87,439629.71,0.056,Infotainment,24166088.3,5496.92
2022-06-01,EV,1946,33,16.82,3489.13,115141.24,0.1,Infotainment,3904506.62,3391.06
2022-06-01,Luxury_SUV,11690,232,19.86,1603.64,372043.43,0.042,Body,26302960.47,7069.86
2022-06-01,Performance,7216,160,22.11,1257.22,201155.97,0.063,Infotainment,8890800.25,4419.85
2022-06-01,Premium_SUV,16800,379,22.59,1096.19,415456.37,0.05,Body,25519548.37,6142.53
2022-07-01,EV,2202,35,15.95,3597.73,125920.47,0.097,Battery/EV,4417459.85,3508.13
2022-07-01,Luxury_SUV,10566,208,19.73,1522.02,316580.94,0.04,Body,23773924.49,7509.59
2022-07-01,Performance,6214,145,23.34,1188.13,172279.3,0.063,Powertrain,7656281.04,4444.11
2022-07-01,Premium_SUV,17798,419,23.52,1122.75,470432.58,0.054,Powertrain,27036541.84,5747.17
2022-08-01,EV,1986,34,17.35,3626.11,123287.82,0.105,Electrical,3984439.57,3231.82
2022-08-01,Luxury_SUV,10732,229,21.33,1461.91,334777.23,0.042,Body,24147004.05,7212.86
2022-08-01,Performance,5954,145,24.33,1247.99,180958.85,0.069,Powertrain,7335924.53,4053.92
2022-08-01,Premium_SUV,17915,426,23.79,1146.09,488234.61,0.056,Electrical,27213989.49,5573.96
2022-09-01,EV,1688,30,17.85,3370.96,101128.72,0.102,Infotainment,3386444.74,3348.65
2022-09-01,Luxury_SUV,9919,240,24.19,1545.26,370861.95,0.05,Body,22318319.25,6017.96
2022-09-01,Performance,4940,119,24.19,1247.8,148488.62,0.068,Powertrain,6086082.34,4098.69
2022-09-01,Premium_SUV,14266,366,25.65,1206.9,441725.3,0.063,Electrical,21670147.77,4905.8
2022-10-01,EV,1530,28,18.06,3385.59,94796.46,0.105,Powertrain,3070660.84,3239.21
2022-10-01,Luxury_SUV,9254,216,23.3,1522.58,328876.61,0.047,Powertrain,20822940.05,6331.54
2022-10-01,Performance,5324,133,24.94,1231.35,163769.98,0.07,Suspension,6560236.58,4005.76
2022-10-01,Premium_SUV,11954,320,26.76,1247.58,399225.66,0.068,Body,18158636.02,4548.46
2022-11-01,EV,1558,31,19.57,3451.23,106988.1,0.116,Electrical,3127085.1,2922.83
2022-11-01,Luxury_SUV,9111,227,24.87,1599.33,363047.4,0.053,Powertrain,20500189.77,5646.7
2022-11-01,Performance,4696,123,26.21,1250.41,153799.98,0.074,Infotainment,5786676.97,3762.47
2022-11-01,Premium_SUV,10294,297,28.86,1224.0,363529.31,0.072,Body,15637314.44,4301.53
2022-12-01,EV,1394,25,17.71,3530.41,88260.15,0.107,Infotainment,2798061.71,3170.24
2022-12-01,Luxury_SUV,8533,207,24.25,1552.1,321283.73,0.05,Infotainment,19200419.08,5976.16
2022-12-01,Performance,4780,126,26.4,1307.62,164760.09,0.078,Powertrain,5889977.82,3574.88
2022-12-01,Premium_SUV,12061,338,28.02,1154.25,390137.92,0.066,Powertrain,18320758.77,4695.97
2023-01-01,EV,1492,24,16.08,3541.48,84995.52,0.097,Infotainment,2994144.79,3522.71
2023-01-01,Luxury_SUV,9023,229,25.4,1627.46,372688.82,0.055,Body,20302472.94,5447.57
2023-01-01,Performance,4777,125,26.24,1321.6,165200.5,0.079,Suspension,5886044.3,3562.97
2023-01-01,Premium_SUV,11447,326,28.46,1141.41,372100.58,0.066,Suspension,17388186.39,4672.98
2023-02-01,EV,1707,29,17.03,3566.26,103421.62,0.103,Body,3424788.07,3311.48
2023-02-01,Luxury_SUV,9215,231,25.08,1609.82,371869.13,0.054,Powertrain,20733792.01,5575.56
2023-02-01,Performance,5383,142,26.46,1289.08,183049.41,0.077,Electrical,6632891.02,3623.55
2023-02-01,Premium_SUV,12547,351,28.01,1156.35,405879.64,0.066,Powertrain,19060271.62,4696.04
2023-03-01,EV,1959,33,16.76,3749.96,123748.76,0.107,Electrical,3929914.91,3175.72
2023-03-01,Luxury_SUV,10131,225,22.22,1603.81,360858.34,0.047,Battery/EV,22795950.81,6317.15
2023-03-01,Performance,5146,129,25.1,1363.21,175853.74,0.078,Electrical,6339926.46,3605.23
2023-03-01,Premium_SUV,13393,344,25.7,1149.33,395370.87,0.06,Suspension,20344723.83,5145.73
2023-04-01,EV,2038,33,16.42,3862.84,127473.83,0.106,Powertrain,4089174.66,3207.85
2023-04-01,Luxury_SUV,11164,257,23.01,1677.63,431151.57,0.051,Infotainment,25119544.65,5826.15
2023-04-01,Performance,5669,130,22.9,1441.98,187457.17,0.075,Suspension,6984285.69,3725.8
2023-04-01,Premium_SUV,14917,344,23.06,1126.66,387572.44,0.053,Powertrain,22659225.86,5846.45
2023-05-01,EV,1731,25,14.72,3386.35,84658.84,0.083,Suspension,3473063.6,4102.42
2023-05-01,Luxury_SUV,10107,218,21.58,1622.23,353646.49,0.047,Powertrain,22740901.32,6430.4
2023-05-01,Performance,7642,163,21.38,1448.07,236034.67,0.07,Powertrain,9414961.38,3988.8
2023-05-01,Premium_SUV,17042,405,23.78,1147.55,464757.94,0.056,Powertrain,25888113.53,5570.24
2023-06-01,EV,2150,31,14.47,3358.4,104110.39,0.082,Electrical,4314516.66,4144.17
2023-06-01,Luxury_SUV,11216,231,20.61,1543.61,356572.8,0.042,Electrical,25236268.85,7077.45
2023-06-01,Performance,6168,132,21.32,1479.03,195231.46,0.072,Powertrain,7599533.06,3892.58
2023-06-01,Premium_SUV,16344,376,23.03,1129.45,424673.27,0.053,Body,24826546.86,5846.03
2023-07-01,EV,2086,33,16.01,3357.34,110792.17,0.09,Electrical,4185854.34,3778.11
2023-07-01,Luxury_SUV,10917,213,19.53,1510.63,321763.88,0.039,Suspension,24565273.13,7634.57
2023-07-01,Performance,6158,129,20.91,1518.76,195920.24,0.072,Infotainment,7587843.25,3872.92
2023-07-01,Premium_SUV,15731,345,21.91,1109.53,382789.23,0.05,Powertrain,23896077.87,6242.62
2023-08-01,EV,2039,34,16.64,3136.6,106644.28,0.089,Electrical,4091147.32,3836.26
2023-08-01,Luxury_SUV,10276,201,19.54,1538.93,309324.58,0.04,Infotainment,23121845.64,7474.95
2023-08-01,Performance,7174,153,21.37,1545.24,236422.46,0.075,Powertrain,8838431.51,3738.41
2023-08-01,Premium_SUV,14059,318,22.64,1137.93,361862.32,0.053,Electrical,21356134.25,5901.73
2023-09-01,EV,2059,35,17.01,3216.02,112560.74,0.093,Battery/EV,4130954.1,3669.98
2023-09-01,Luxury_SUV,9829,209,21.23,1440.53,301070.47,0.041,Powertrain,22115687.96,7345.68
2023-09-01,Performance,7126,161,22.56,1539.42,247846.98,0.079,Infotainment,8779889.83,3542.46
2023-09-01,Premium_SUV,12466,316,25.33,1127.69,356351.17,0.058,Electrical,18936925.04,5314.12
2023-10-01,EV,1469,25,17.07,3439.82,85995.45,0.099,Body,2946906.53,3426.82
2023-10-01,Luxury_SUV,10256,228,22.26,1495.15,340893.42,0.044,Body,23076656.78,6769.46
2023-10-01,Performance,5036,115,22.79,1534.47,176463.67,0.08,Powertrain,6204928.47,3516.26
2023-10-01,Premium_SUV,12637,296,23.43,1150.25,340472.62,0.055,Powertrain,19196520.73,5638.2
2023-11-01,EV,1553,27,17.25,3295.18,88969.91,0.097,Infotainment,3116321.19,3502.67
2023-11-01,Luxury_SUV,8216,197,23.93,1468.36,289267.03,0.047,Electrical,18487689.65,6391.22
2023-11-01,Performance,5035,123,24.4,1526.82,187798.5,0.085,Powertrain,6203587.56,3303.32
2023-11-01,Premium_SUV,12278,282,23.01,1170.15,329981.15,0.055,Body,18651425.41,5652.27
2023-12-01,EV,1654,26,15.79,3376.96,87800.94,0.09,Infotainment,3318206.33,3779.24
2023-12-01,Luxury_SUV,9137,231,25.28,1549.66,357971.43,0.052,Body,20560260.82,5743.55
2023-12-01,Performance,5177,131,25.22,1434.08,187864.15,0.082,Powertrain,6379067.85,3395.57
2023-12-01,Premium_SUV,13551,317,23.36,1119.93,355018.1,0.053,Body,20584152.43,5798.06
2024-01-01,EV,1450,24,16.49,3268.81,78451.34,0.092,Electrical,2910329.03,3709.73
2024-01-01,Luxury_SUV,7739,211,27.32,1400.33,295468.92,0.051,Electrical,17414881.65,5893.98
2024-01-01,Performance,5811,138,23.67,1457.23,201097.68,0.079,Electrical,7159979.94,3560.45
2024-01-01,Premium_SUV,12475,335,26.84,1111.12,372224.64,0.061,Body,18950062.83,5091.03
2024-02-01,EV,1919,33,17.25,3216.24,106135.77,0.094,Electrical,3851405.63,3628.75
2024-02-01,Luxury_SUV,9122,240,26.33,1378.78,330906.24,0.048,Infotainment,20525037.65,6202.67
2024-02-01,Performance,5138,129,25.15,1365.09,176096.99,0.078,Powertrain,6330632.79,3594.97
2024-02-01,Premium_SUV,14068,386,27.44,1195.29,461381.57,0.067,Electrical,21369446.19,4631.62
2024-03-01,EV,1936,30,15.44,3472.64,104179.16,0.091,Battery/EV,3883955.25,3728.15
2024-03-01,Luxury_SUV,10229,242,23.64,1307.1,316318.75,0.041,Electrical,23015505.46,7276.05
2024-03-01,Performance,5873,138,23.57,1322.03,182439.55,0.071,Powertrain,7236493.98,3966.52
2024-03-01,Premium_SUV,13753,386,28.05,1140.01,440044.68,0.065,Infotainment,20891252.05,4747.53
2024-04-01,EV,2156,31,14.55,3397.55,105324.13,0.083,Electrical,4325785.41,4107.12
2024-04-01,Luxury_SUV,11335,275,24.26,1302.58,358208.49,0.042,Powertrain,25505289.97,7120.24
2024-04-01,Performance,6784,141,20.71,1401.86,197661.62,0.066,Suspension,8358427.35,4228.65
2024-04-01,Premium_SUV,14070,358,25.43,1050.69,376146.07,0.055,Powertrain,21373411.52,5682.21
2024-05-01,EV,2061,28,13.35,3477.13,97359.74,0.08,Electrical,4134400.95,4246.52
2024-05-01,Luxury_SUV,12032,275,22.86,1365.14,375412.75,0.042,Suspension,27074034.53,7211.8
2024-05-01,Performance,6979,133,19.03,1441.26,191687.28,0.062,Powertrain,8598469.26,4485.68
2024-05-01,Premium_SUV,15060,350,23.27,991.47,347015.9,0.047,Powertrain,22876431.24,6592.33
2024-06-01,EV,2317,29,12.61,3216.87,93289.31,0.068,Electrical,4648026.53,4982.38
2024-06-01,Luxury_SUV,12332,289,23.44,1389.69,401620.71,0.043,Powertrain,27748182.72,6909.05
2024-06-01,Performance,6722,120,17.81,1508.69,181042.66,0.061,Electrical,8281755.98,4574.48
2024-06-01,Premium_SUV,15627,369,23.63,1034.46,381716.83,0.05,Powertrain,23738311.64,6218.83
